phase,count_block_loop,block_correct,h1_average_c,h1_average_f
baseline,0,0.1667,0.0000,0.0000
baseline,1,0.0000,0.0000,0.0000
baseline,2,0.0000,0.0000,0.0000
training,3,0.0000,0.0000,0.0000
training,4,0.0000,0.0000,0.0000
training,5,0.5000,0.9618,1.0000
testing,6,0.6667,0.9618,1.0000
testing,7,0.5000,0.9618,1.0000
testing,8,0.5000,0.9618,1.0000
